product_id,product_name,brand,category,base_price,stock_status
194556,Sony WH-1000XM5 Pink,Sony,Audio & Smartwatches,419.44,"Ordered today, delivered tomorrow"
229806,Samsung Galaxy S24 Ultra 64GB Blue,Samsung,Smartphones,735.39,In stock
722664,Samsung Galaxy Watch6 Green,Samsung,Audio & Smartwatches,370.97,In stock
895216,Samsung USB-C Cable,Samsung,Accessories,21.88,Temporarily out of stock
857795,Samsung Galaxy S24 1TB Red,Samsung,Smartphones,584.62,"Ordered today, delivered tomorrow"
770709,Samsung Galaxy S24 512GB Green,Samsung,Smartphones,757.47,In stock
415450,Xiaomi Poco X6 512GB Titanium,Xiaomi,Smartphones,725.51,Temporarily out of stock
803137,Mobilize Silicone Case Transparent,Mobilize,Accessories,48.39,"Ordered today, delivered tomorrow"
216346,Apple iPhone 15 512GB Gold,Apple,Smartphones,1129.05,Temporarily out of stock
209816,Apple iPhone 15 512GB Pink,Apple,Smartphones,1278.24,In stock
663545,Xiaomi 13T Pro 1TB Gold,Xiaomi,Smartphones,412.27,"Ordered today, delivered tomorrow"
481274,Xiaomi 13T Pro 1TB Black,Xiaomi,Smartphones,1141.2,"Ordered today, delivered tomorrow"
484152,OnePlus Nord 3 1TB Green,OnePlus,Smartphones,1030.82,"Ordered today, delivered tomorrow"
585123,Samsung Galaxy A34 512GB Blue,Samsung,Smartphones,417.39,In stock
707128,Samsung Silicone Case Blue,Samsung,Accessories,51.93,"Ordered today, delivered tomorrow"
213630,Google Pixel Watch 2 Pink,Google,Audio & Smartwatches,181.48,"Ordered today, delivered tomorrow"
266402,Samsung Galaxy Z Flip5 1TB Green,Samsung,Smartphones,731.62,"Ordered today, delivered tomorrow"
532275,Apple Fast Charger,Apple,Accessories,13.68,"Ordered today, delivered tomorrow"
678766,OnePlus 12 128GB Black,OnePlus,Smartphones,321.34,"Ordered today, delivered tomorrow"
555352,Samsung Galaxy S24 64GB Pink,Samsung,Smartphones,1304.21,Temporarily out of stock
106098,Apple iPhone SE 256GB Red,Apple,Smartphones,272.1,Temporarily out of stock
848008,Google Pixel Watch 2 Silver,Google,Audio & Smartwatches,338.48,"Ordered today, delivered tomorrow"
176810,Apple iPhone SE 128GB Red,Apple,Smartphones,1435.44,Temporarily out of stock
236238,Samsung Galaxy Buds2 Pro Blue,Samsung,Audio & Smartwatches,251.39,"Ordered today, delivered tomorrow"
820863,OnePlus 12 64GB White,OnePlus,Smartphones,1307.62,In stock
465397,Samsung Galaxy Z Flip5 64GB Pink,Samsung,Smartphones,471.16,In stock
511430,Samsung Galaxy S24 Ultra 128GB Titanium,Samsung,Smartphones,513.56,"Ordered today, delivered tomorrow"
863870,Apple Watch Ultra 2 Pink,Apple,Audio & Smartwatches,402.24,Temporarily out of stock
853330,Apple iPhone SE 256GB White,Apple,Smartphones,1155.02,In stock
704656,Otterbox Screen Protector,Otterbox,Accessories,44.22,In stock
362107,Samsung Galaxy A34 256GB Blue,Samsung,Smartphones,1402.43,In stock
800073,Samsung Galaxy Buds2 Pro Silver,Samsung,Audio & Smartwatches,222.11,Temporarily out of stock
780658,Sony WH-1000XM5 Titanium,Sony,Audio & Smartwatches,150.01,"Ordered today, delivered tomorrow"
871508,OnePlus 12 1TB Gold,OnePlus,Smartphones,807.89,Temporarily out of stock
391105,Samsung Galaxy Z Flip5 1TB Pink,Samsung,Smartphones,1098.45,"Ordered today, delivered tomorrow"
364338,Samsung Galaxy S24 1TB Blue,Samsung,Smartphones,559.71,In stock
413548,Google Pixel Watch 2 Blue,Google,Audio & Smartwatches,345.63,"Ordered today, delivered tomorrow"
295561,Apple iPhone SE 64GB Red,Apple,Smartphones,1033.95,Temporarily out of stock
468091,Mobilize Fast Charger,Mobilize,Accessories,20.11,In stock
222383,Xiaomi 13T Pro 1TB Gold,Xiaomi,Smartphones,642.62,In stock
363479,Xiaomi Poco X6 512GB Red,Xiaomi,Smartphones,611.31,"Ordered today, delivered tomorrow"
853071,Google Pixel 8 64GB Black,Google,Smartphones,721.81,Temporarily out of stock
397819,Sony WH-1000XM5 Blue,Sony,Audio & Smartwatches,363.46,Temporarily out of stock
533467,Samsung Galaxy Watch6 Titanium,Samsung,Audio & Smartwatches,259.73,Temporarily out of stock
463742,Apple iPhone 13 256GB Gold,Apple,Smartphones,337.32,"Ordered today, delivered tomorrow"
306555,Sony WH-1000XM5 White,Sony,Audio & Smartwatches,405.61,Temporarily out of stock
960911,OnePlus 12 512GB Titanium,OnePlus,Smartphones,1008.46,"Ordered today, delivered tomorrow"
150788,Sony WH-1000XM5 Green,Sony,Audio & Smartwatches,275.96,Temporarily out of stock
179232,Apple iPhone 15 Pro 64GB White,Apple,Smartphones,810.25,Temporarily out of stock
635546,Apple iPhone 15 1TB White,Apple,Smartphones,779.75,"Ordered today, delivered tomorrow"
