coupon_code,discount_percentage,campaign_name,valid_from,valid_to
BF25-339,0.2,Black Friday 2025,2025-11-11,2025-11-25
BF25-681,0.2,Black Friday 2025,2025-11-11,2025-11-25
BF25-476,0.05,Black Friday 2025,2025-11-11,2025-11-25
BF25-427,0.2,Black Friday 2025,2025-11-11,2025-11-25
BF25-722,0.1,Black Friday 2025,2025-11-11,2025-11-25
BF25-558,0.15,Black Friday 2025,2025-11-11,2025-11-25
BF25-181,0.2,Black Friday 2025,2025-11-11,2025-11-25
CM25-283,0.1,Cyber Monday 2025,2025-12-11,2026-01-09
CM25-729,0.25,Cyber Monday 2025,2025-12-11,2026-01-09
CM25-517,0.1,Cyber Monday 2025,2025-12-11,2026-01-09
WINT-877,0.05,Winter Sale,2026-01-10,2026-01-28
WINT-672,0.2,Winter Sale,2026-01-10,2026-01-28
WINT-494,0.25,Winter Sale,2026-01-10,2026-01-28
WINT-522,0.15,Winter Sale,2026-01-10,2026-01-28
WINT-152,0.15,Winter Sale,2026-01-10,2026-01-28
WINT-613,0.05,Winter Sale,2026-01-10,2026-01-28
SUMR-107,0.05,Summer Splash,2025-07-14,2025-08-01
SUMR-626,0.05,Summer Splash,2025-07-14,2025-08-01
SUMR-982,0.15,Summer Splash,2025-07-14,2025-08-01
SUMR-855,0.2,Summer Splash,2025-07-14,2025-08-01
SUMR-175,0.1,Summer Splash,2025-07-14,2025-08-01
SUMR-108,0.1,Summer Splash,2025-07-14,2025-08-01
SUMR-237,0.05,Summer Splash,2025-07-14,2025-08-01
HI10-353,0.25,New User Welcome,2025-03-16,2025-04-07
HI10-687,0.25,New User Welcome,2025-03-16,2025-04-07
HI10-697,0.2,New User Welcome,2025-03-16,2025-04-07
HI10-919,0.15,New User Welcome,2025-03-16,2025-04-07
HI10-108,0.2,New User Welcome,2025-03-16,2025-04-07
