order_id,payment_sequential,payment_type,payment_installments,payment_value
911254,1,credit_card,12,188.21
911254,2,boleto,1,104.53
911254,3,voucher,1,585.7
211471,1,boleto,1,229.14
464091,1,voucher,1,2174.48
103113,1,credit_card,12,2911.95
332230,1,boleto,1,2395.62
843361,1,voucher,1,2885.28
731647,1,debit_card,1,6.41
731647,2,boleto,1,189.39
523334,1,debit_card,1,2569.83
979112,1,credit_card,6,1056.97
399658,1,credit_card,1,3996.99
658571,1,debit_card,1,32.01
419005,1,debit_card,1,1865.37
599630,1,boleto,1,3902.04
394290,1,credit_card,3,2868.26
436305,1,credit_card,12,1019.0
436305,2,voucher,1,2016.46
184384,1,boleto,1,4981.45
903617,1,boleto,1,3683.77
733420,1,debit_card,1,2670.37
104834,1,voucher,1,3764.93
613187,1,boleto,1,517.4
521011,1,credit_card,1,4441.13
947749,1,boleto,1,2806.22
516198,1,voucher,1,3736.84
669416,1,boleto,1,3522.1
843712,1,boleto,1,895.07
843712,2,debit_card,1,1419.18
296143,1,credit_card,12,4713.74
929725,1,debit_card,1,4789.02
164953,1,boleto,1,3695.03
489194,1,voucher,1,1184.17
172813,1,boleto,1,6424.06
725707,1,boleto,1,2682.66
232462,1,voucher,1,1387.02
605804,1,boleto,1,3012.81
238366,1,credit_card,6,5913.31
194593,1,debit_card,1,4637.34
716349,1,credit_card,6,480.04
394535,1,voucher,1,4656.77
555701,1,boleto,1,135.01
555701,2,debit_card,1,4012.33
904918,1,boleto,1,1572.35
103004,1,voucher,1,1049.36
103004,2,debit_card,1,1411.22
287925,1,debit_card,1,1434.68
947085,1,voucher,1,356.1
560652,1,boleto,1,6388.84
414518,1,debit_card,1,3419.55
192205,1,voucher,1,728.03
152120,1,boleto,1,5507.09
108667,1,debit_card,1,387.58
975889,1,credit_card,6,7053.92
314013,1,boleto,1,900.54
536095,1,debit_card,1,475.16
609186,1,debit_card,1,443.19
743238,1,credit_card,6,585.02
743238,2,boleto,1,1627.55
608227,1,credit_card,12,4352.96
493262,1,credit_card,6,1725.65
493262,2,boleto,1,4483.0
960766,1,boleto,1,1626.48
682538,1,voucher,1,4200.14
477267,1,boleto,1,2450.04
118633,1,boleto,1,4344.87
294310,1,debit_card,1,1601.62
527150,1,voucher,1,1799.44
526963,1,boleto,1,7344.22
650930,1,boleto,1,431.41
740005,1,boleto,1,2287.39
395891,1,debit_card,1,967.09
395891,2,credit_card,6,1652.72
538782,1,debit_card,1,2001.01
538782,2,voucher,1,1654.28
538782,3,boleto,1,1894.5
769997,1,credit_card,3,3036.59
682520,1,credit_card,3,6032.26
223514,1,debit_card,1,3175.67
189612,1,boleto,1,5813.86
749527,1,debit_card,1,509.04
248193,1,debit_card,1,3762.37
682822,1,boleto,1,140.81
682822,2,boleto,1,353.94
682822,3,debit_card,1,1741.09
838939,1,debit_card,1,5127.84
298727,1,boleto,1,3086.85
754456,1,debit_card,1,1554.06
268220,1,voucher,1,2607.54
612788,1,credit_card,1,187.74
612788,2,voucher,1,72.54
612788,3,credit_card,12,381.25
936723,1,boleto,1,2144.62
276842,1,debit_card,1,4297.65
786931,1,debit_card,1,4820.29
565921,1,debit_card,1,3342.52
188973,1,voucher,1,3380.2
700350,1,voucher,1,6982.73
769934,1,debit_card,1,851.28
317864,1,voucher,1,2073.98
966481,1,credit_card,1,949.16
966481,2,credit_card,12,3626.65
530025,1,credit_card,6,2222.58
616944,1,debit_card,1,452.21
526116,1,credit_card,1,3293.64
742240,1,boleto,1,268.63
615068,1,debit_card,1,1399.56
332494,1,boleto,1,3088.38
852161,1,debit_card,1,4756.26
243908,1,boleto,1,4087.61
109576,1,debit_card,1,5466.42
956055,1,debit_card,1,1383.41
956055,2,voucher,1,479.73
956055,3,credit_card,1,2194.66
879775,1,boleto,1,3525.59
405076,1,voucher,1,6477.34
447562,1,boleto,1,877.44
859585,1,boleto,1,2930.42
256769,1,debit_card,1,4026.28
490064,1,voucher,1,3182.49
298256,1,boleto,1,1407.44
298256,2,debit_card,1,2811.56
995865,1,voucher,1,1768.47
383916,1,credit_card,1,1455.76
997504,1,boleto,1,665.74
221842,1,credit_card,3,352.1
221842,2,credit_card,12,998.88
221842,3,boleto,1,1838.1
134522,1,voucher,1,6022.0
300045,1,voucher,1,1437.36
696981,1,credit_card,3,1694.31
641088,1,boleto,1,2041.19
252552,1,credit_card,1,3091.75
787938,1,voucher,1,3703.59
839707,1,credit_card,6,1099.35
721011,1,credit_card,3,95.25
105440,1,credit_card,1,2178.2
282748,1,credit_card,3,2867.89
765342,1,boleto,1,4678.89
222930,1,boleto,1,1037.14
222930,2,credit_card,3,2966.8
531500,1,debit_card,1,2122.35
989445,1,credit_card,3,843.71
829477,1,debit_card,1,2625.97
634009,1,credit_card,1,5246.76
535998,1,voucher,1,1673.49
346478,1,credit_card,1,2674.11
413198,1,boleto,1,1337.74
879976,1,boleto,1,5041.2
698030,1,credit_card,6,3125.9
132840,1,debit_card,1,3834.33
180515,1,debit_card,1,422.97
723080,1,voucher,1,2459.36
382700,1,credit_card,1,2377.98
163626,1,boleto,1,7267.79
457154,1,voucher,1,2935.74
886200,1,debit_card,1,2569.47
611397,1,boleto,1,2216.99
754940,1,credit_card,3,6472.21
973108,1,voucher,1,2129.0
731678,1,debit_card,1,6743.14
856019,1,voucher,1,6146.12
274945,1,boleto,1,2342.74
391348,1,debit_card,1,60.8
159333,1,boleto,1,3935.17
994881,1,voucher,1,5333.18
495397,1,voucher,1,1356.18
541750,1,debit_card,1,2362.03
416924,1,credit_card,6,3327.12
243774,1,debit_card,1,5827.63
158029,1,boleto,1,1759.59
885991,1,debit_card,1,3640.91
366714,1,voucher,1,2130.92
289187,1,voucher,1,370.6
301576,1,boleto,1,701.82
301576,2,debit_card,1,1933.51
993592,1,debit_card,1,4154.79
987074,1,debit_card,1,2450.99
252940,1,credit_card,1,1739.64
326788,1,voucher,1,659.34
394704,1,boleto,1,3211.06
532038,1,credit_card,12,2365.22
222355,1,debit_card,1,827.24
679733,1,debit_card,1,3661.45
246599,1,boleto,1,2602.33
246599,2,voucher,1,2776.65
982896,1,voucher,1,1942.65
398550,1,voucher,1,475.41
444673,1,boleto,1,564.22
444673,2,boleto,1,317.03
444673,3,debit_card,1,384.04
212048,1,voucher,1,5274.3
916419,1,voucher,1,5972.12
625679,1,boleto,1,2755.84
156342,1,voucher,1,529.42
531719,1,voucher,1,5820.61
220080,1,voucher,1,1927.42
646360,1,debit_card,1,545.81
293540,1,boleto,1,3422.52
327682,1,credit_card,12,178.56
336852,1,boleto,1,3292.04
379645,1,voucher,1,1271.23
325017,1,boleto,1,2557.94
637827,1,credit_card,12,1755.8
637827,2,credit_card,1,623.59
637827,3,voucher,1,2349.56
269541,1,voucher,1,86.29
670201,1,debit_card,1,1792.2
786033,1,debit_card,1,4901.08
157474,1,boleto,1,2094.39
820675,1,debit_card,1,2071.67
272314,1,debit_card,1,4647.6
733533,1,boleto,1,3097.28
389349,1,boleto,1,1126.34
538713,1,voucher,1,3588.49
156419,1,debit_card,1,2242.94
416033,1,credit_card,3,2124.27
485761,1,debit_card,1,1400.19
859501,1,voucher,1,2456.94
677713,1,debit_card,1,5071.75
775940,1,boleto,1,2207.5
611164,1,voucher,1,294.05
569496,1,credit_card,3,1199.53
569496,2,credit_card,1,1232.4
569496,3,voucher,1,2913.15
212221,1,boleto,1,3108.28
957812,1,debit_card,1,3403.08
416655,1,voucher,1,6290.64
609863,1,voucher,1,1394.91
140371,1,boleto,1,222.54
140371,2,voucher,1,122.27
140371,3,boleto,1,796.66
438689,1,credit_card,6,4633.42
208213,1,debit_card,1,4706.29
471684,1,boleto,1,479.9
727910,1,boleto,1,800.15
705857,1,voucher,1,2163.7
937944,1,voucher,1,5054.72
665022,1,voucher,1,5000.62
890970,1,voucher,1,997.04
653768,1,boleto,1,3644.0
616934,1,debit_card,1,1837.09
111609,1,boleto,1,274.96
111609,2,credit_card,3,460.5
543403,1,credit_card,1,2983.6
975065,1,voucher,1,4968.96
368301,1,boleto,1,1490.84
868868,1,boleto,1,1902.35
695629,1,debit_card,1,1017.56
695629,2,debit_card,1,344.58
695629,3,boleto,1,2243.67
129459,1,debit_card,1,7452.72
177361,1,boleto,1,2523.46
331692,1,voucher,1,275.79
331692,2,voucher,1,406.26
491475,1,credit_card,1,4097.6
964901,1,voucher,1,1499.28
331057,1,boleto,1,3789.31
129223,1,credit_card,6,4117.32
422683,1,credit_card,1,2596.45
180061,1,voucher,1,3432.22
561345,1,boleto,1,2926.09
490860,1,credit_card,12,468.46
769666,1,boleto,1,1409.05
769666,2,credit_card,3,418.92
769666,3,credit_card,3,1740.44
840467,1,boleto,1,23.52
840467,2,debit_card,1,9.92
840467,3,credit_card,3,22.48
949963,1,voucher,1,2225.81
300338,1,boleto,1,647.99
300338,2,debit_card,1,1121.48
969735,1,credit_card,1,399.93
969735,2,debit_card,1,1980.47
181575,1,boleto,1,1542.81
861732,1,boleto,1,1477.58
590819,1,credit_card,6,622.71
172882,1,voucher,1,3227.53
241830,1,debit_card,1,2757.36
205237,1,credit_card,3,1107.11
423550,1,credit_card,12,630.04
423550,2,debit_card,1,800.6
423550,3,boleto,1,977.12
859706,1,debit_card,1,1504.48
438267,1,debit_card,1,2790.84
368700,1,credit_card,6,696.19
874731,1,credit_card,1,3042.9
443396,1,debit_card,1,3933.77
526805,1,boleto,1,598.96
526805,2,debit_card,1,676.61
526805,3,voucher,1,956.24
487377,1,debit_card,1,6153.9
298754,1,voucher,1,1085.22
473165,1,boleto,1,747.52
190272,1,debit_card,1,1976.26
202632,1,boleto,1,1308.57
202632,2,voucher,1,3180.75
869218,1,credit_card,1,1079.59
206626,1,boleto,1,2210.83
126578,1,boleto,1,2588.63
769938,1,boleto,1,1604.86
823181,1,boleto,1,3426.99
453774,1,debit_card,1,4782.51
114011,1,boleto,1,1532.93
108644,1,debit_card,1,4239.72
401053,1,debit_card,1,450.49
980457,1,credit_card,1,4661.74
791395,1,voucher,1,2762.52
286022,1,credit_card,1,4580.45
321927,1,credit_card,1,4784.4
339201,1,boleto,1,1734.77
982197,1,debit_card,1,5344.56
447116,1,boleto,1,1461.6
900254,1,debit_card,1,1084.98
499934,1,boleto,1,3251.4
392918,1,boleto,1,2799.92
322404,1,boleto,1,4445.32
591219,1,credit_card,1,3082.92
193186,1,voucher,1,2307.78
625171,1,debit_card,1,3755.54
217115,1,boleto,1,2565.41
728314,1,voucher,1,1099.9
859710,1,credit_card,3,1997.35
508914,1,credit_card,6,28.55
604550,1,boleto,1,4440.66
190570,1,debit_card,1,1240.92
622388,1,debit_card,1,3108.6
133334,1,boleto,1,515.47
491013,1,boleto,1,1696.8
987526,1,credit_card,12,3212.14
732869,1,voucher,1,3692.36
167907,1,debit_card,1,267.62
973405,1,boleto,1,1532.29
275039,1,debit_card,1,164.2
741032,1,boleto,1,33.31
196250,1,credit_card,3,1944.36
871465,1,debit_card,1,406.13
871465,2,voucher,1,95.58
871465,3,boleto,1,478.73
353715,1,boleto,1,60.55
934096,1,boleto,1,4090.3
487370,1,debit_card,1,8057.61
553290,1,debit_card,1,2685.31
998321,1,voucher,1,3608.49
932819,1,debit_card,1,3530.89
639082,1,voucher,1,3629.43
186530,1,debit_card,1,5244.59
257066,1,boleto,1,1612.98
645229,1,voucher,1,1031.72
751880,1,debit_card,1,3510.28
720076,1,credit_card,12,5323.96
197199,1,debit_card,1,5937.59
384351,1,boleto,1,3415.67
817342,1,credit_card,6,3017.93
482953,1,credit_card,1,1704.31
336599,1,boleto,1,377.95
942371,1,debit_card,1,2070.1
375892,1,credit_card,1,442.39
340937,1,boleto,1,902.49
378065,1,credit_card,1,5348.86
176264,1,boleto,1,2221.28
630146,1,boleto,1,8067.12
183782,1,boleto,1,2149.57
330716,1,voucher,1,5313.98
973570,1,credit_card,6,2995.11
598922,1,boleto,1,236.3
982672,1,voucher,1,4717.72
444496,1,voucher,1,961.21
106514,1,voucher,1,713.25
176862,1,credit_card,1,4233.93
615791,1,boleto,1,373.3
142965,1,debit_card,1,5847.68
141657,1,debit_card,1,2411.16
310049,1,debit_card,1,107.54
275689,1,voucher,1,478.75
753461,1,voucher,1,762.03
617884,1,credit_card,6,2153.01
701807,1,debit_card,1,3783.49
117541,1,debit_card,1,4620.28
350554,1,debit_card,1,3650.34
790837,1,debit_card,1,5853.74
207074,1,voucher,1,3328.06
337067,1,boleto,1,2704.28
106000,1,voucher,1,806.82
149193,1,voucher,1,1598.52
490591,1,debit_card,1,162.7
674145,1,boleto,1,2303.41
151601,1,boleto,1,956.98
653701,1,boleto,1,2908.64
585417,1,boleto,1,5363.74
825833,1,boleto,1,5171.59
174822,1,voucher,1,4319.37
619872,1,voucher,1,1980.02
616908,1,debit_card,1,2373.1
820632,1,debit_card,1,9345.3
190520,1,credit_card,6,858.32
200856,1,credit_card,12,582.27
